"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2015 VY167)",39.03,0.0144,34.86,51.36,252.82,38.466,39.59,244,831,5,30,,,9.10
"       (2015 VZ167)",33.88,0.5286,15.39,51.56,314.10,15.970,51.78,197,762,3,22,,,11.30
"       (2015 VA168)",73.15,0.5366,5.60,61.66,336.63,33.894,112.40,626,764,4,29,,,8.30
"       (2015 VB168)",99.63,0.6488,4.28,82.74,49.92,34.990,164.26,994,828,5,37,,,6.70
"       (2015 VC168)",44.58,0.2829,7.70,209.08,250.49,31.972,57.19,298,1122,4,33,,,9.20
"       (2015 VD168)",118.7,0.7830,22.41,223.08,113.09,25.754,211.59,1.29e+03,1039,4,32,,,8.10
"       (2015 VE168)",69.76,0.4960,2.10,198.00,187.29,35.160,104.35,583,801,4,35,,,8.60
"       (2015 VF168)",41.38,0.3075,34.75,225.44,197.61,28.655,54.10,266,777,4,28,,,10.30
"       (2015 VG168)",65.69,0.4717,13.76,56.58,250.51,34.706,96.67,532,1125,5,46,,,5.60
"       (2015 VH168)",49.25,0.2594,15.83,226.34,172.10,36.477,62.02,346,1125,4,35,,,7.30
"       (2015 VJ168)",59.98,0.3609,9.87,58.55,213.16,38.333,81.64,465,846,6,35,,,5.80
"       (2015 VK168)",59.54,0.3540,14.27,221.54,182.53,38.466,80.62,459,1122,4,33,,,7.60
"       (2015 VL168)",88.18,0.5676,16.12,229.63,289.12,38.126,138.23,828,831,6,30,,,6.10
"       (2015 VM168)",64.25,0.4158,13.68,220.48,188.40,37.534,90.96,515,1120,4,32,,,9.60
"       (2015 VN168)",61.93,0.4030,20.17,227.71,79.08,36.974,86.89,487,1125,5,38,,,7.40
"       (2015 VO168)",54.21,0.2950,4.52,209.53,233.14,38.221,70.20,399,1125,4,41,,,8.10
"       (2015 VP168)",45.84,0.0055,2.00,57.28,15.13,45.583,46.09,310,801,5,36,,,7.90
"       (2015 VQ168)",43.85,0.0376,0.25,175.22,7.32,42.203,45.50,290,2961,4,40,,,8.03
"       (2015 VR168)",44.73,0.0689,1.67,79.38,213.05,41.649,47.81,299,801,5,45,,,7.80
"       (2015 VS168)",47.15,0.1727,3.49,60.99,132.17,39.009,55.29,324,2901,4,37,,,7.29
"       (2015 VT168)",45.64,0.0427,1.20,223.46,186.86,43.694,47.59,308,1122,5,46,,,6.60
"       (2015 VU168)",44.68,0.0724,1.16,150.96,341.88,41.443,47.91,299,1119,4,38,,,8.00
"       (2015 VV168)",45.85,0.0684,2.12,85.63,324.87,42.716,48.99,311,1125,5,37,,,8.80
"       (2015 VW168)",42.98,0.0404,1.95,96.77,211.79,41.246,44.72,282,1125,4,45,,,8.10
"       (2015 VX168)",43.42,0.0217,2.65,72.39,114.71,42.480,44.36,286,1125,5,46,,,8.10
"       (2015 VY168)",43.1,0.0288,1.76,123.52,273.96,41.864,44.34,283,1119,5,29,,,8.80
"       (2015 VZ168)",44.47,0.1439,6.19,213.64,345.61,38.070,50.87,297,801,5,42,,,7.60
"       (2015 VA169)",44.21,0.0459,2.17,97.52,326.71,42.177,46.24,294,1125,5,46,,,8.10
"       (2015 VB169)",44.31,0.0731,2.08,104.94,130.04,41.065,47.55,295,1125,5,38,,,7.60
"       (2015 VC169)",43.81,0.1768,2.50,188.89,283.15,36.069,51.56,290,1041,4,33,,,8.50
"       (2015 VD169)",43.07,0.0627,2.24,161.61,257.82,40.372,45.78,283,2571,4,32,,,8.10
"       (2015 VE169)",44.65,0.0390,2.53,120.09,248.72,42.912,46.39,298,2304,4,35,,,7.90
"       (2015 VF169)",44.15,0.0583,3.19,104.05,195.44,41.580,46.73,293,2961,4,43,,,7.98
"       (2015 VG169)",46.95,0.0622,2.18,127.24,272.52,44.035,49.87,322,801,5,33,,,8.10
"       (2015 VH169)",43.19,0.0264,2.52,106.72,27.20,42.049,44.33,284,801,4,35,,,8.50
"       (2015 VJ169)",43.23,0.0670,2.88,177.96,257.93,40.335,46.13,284,801,5,37,,,8.50
"       (2015 VK169)",44.11,0.0529,2.34,119.81,125.89,41.772,46.44,293,801,5,32,,,8.20
"       (2015 VL169)",45.18,0.1024,7.07,69.60,95.07,40.554,49.81,304,2304,4,35,,,7.66
"       (2015 VM169)",40.94,0.0122,28.04,222.50,105.44,40.437,41.44,262,1122,4,46,,,8.20
"       (2015 VN169)",42.81,0.0332,6.16,77.16,231.42,41.392,44.24,280,533,5,34,,,8.30
"       (2015 VO169)",46.03,0.1207,3.78,110.65,238.63,40.472,51.59,312,502,5,23,,,8.10
"       (2015 VP169)",42.97,0.0532,3.58,47.94,229.12,40.681,45.25,282,526,6,24,,,8.20
"       (2015 VQ169)",44.16,0.0298,0.71,43.85,257.27,42.842,45.48,293,526,6,28,,,7.50
"       (2015 VR169)",42.91,0.1502,17.18,235.06,30.98,36.469,49.36,281,846,5,26,,,8.00
"       (2015 VS169)",43.7,0.0433,1.44,74.35,263.11,41.806,45.59,289,828,4,30,,,8.70
"       (2015 VT169)",44.14,0.0822,1.30,78.12,327.61,40.507,47.77,293,846,5,34,,,8.50
"       (2015 VU169)",42.81,0.0321,1.58,56.79,301.75,41.437,44.19,280,846,4,35,,,7.60
"       (2015 VV169)",43.27,0.0734,3.00,65.56,182.57,40.095,46.45,285,846,5,33,,,7.70
"       (2015 VW169)",45.5,0.1767,17.89,232.32,311.36,37.460,53.54,307,846,5,30,,,7.20
"       (2015 VX169)",44.2,0.0536,3.17,68.73,120.29,41.829,46.57,294,846,5,33,,,7.80
"       (2015 VY169)",47.17,0.1608,11.18,230.54,193.48,39.585,54.75,324,492,6,29,,,8.30
"       (2015 VZ169)",45.56,0.0829,1.68,141.76,28.51,41.784,49.34,308,758,5,31,,,7.80
"       (2015 VA170)",43.8,0.0515,1.64,151.95,200.53,41.542,46.06,290,526,5,27,,,8.50
"       (2015 VB170)",44.1,0.0154,2.94,115.58,316.29,43.423,44.78,293,846,5,29,,,7.30
"       (2015 VC170)",43.92,0.0574,1.45,73.25,284.42,41.397,46.44,291,846,4,39,,,7.30
"       (2015 VD170)",45.96,0.1523,10.08,54.17,221.31,38.961,52.96,312,846,5,36,,,7.10
"       (2015 VE170)",42.82,0.1379,9.82,224.66,181.59,36.914,48.72,280,846,5,32,,,8.00
"       (2015 VF170)",43.06,0.0170,2.25,66.76,97.03,42.329,43.79,283,765,5,23,,,8.10
"       (2015 VG170)",42.36,0.0809,0.51,107.85,334.70,38.934,45.79,276,846,5,33,,,8.20
"       (2015 VH170)",45.11,0.0679,1.31,135.40,316.81,42.050,48.18,303,765,5,35,,,8.40
"       (2015 VJ170)",43.15,0.0359,4.75,74.19,135.64,41.599,44.69,283,828,5,34,,,8.10
