"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","a","n_del_obs_used","n_dop_obs_used","H"
"     C/2019 F2 (ATLAS)",0.8651,2.233,19.19,175.87,10.95,30.86,2019-09-08.8,67.3,JFc,510,3,666,,,,,,16.55,,,
"     C/2019 G4 (PANSTARRS)",1.0001,5.865,138.39,130.46,288.00,,2018-09-16.6,,HYP,64,,7,,,,,,-4.363e+04,,,
"     P/2019 GG21 (PANSTARRS)",0.4740,3.932,6.08,340.58,208.79,11.02,2019-05-12.8,20.4,JFc,104,5,60,,,,,,7.476,,,
"     C/2019 H1 (NEOWISE)",0.9922,1.845,104.58,269.19,19.28,470.82,2019-04-27.7,3.63e+03,COM,283,,165,,,,,,236.3,,,
"     C/2019 J1 (Lemmon)",0.9654,2.479,24.55,98.09,167.79,140.61,2019-04-09.3,605,COM,200,3,192,,,,,,71.55,,,
"     C/2019 J2 (Palomar)",0.9977,1.727,105.14,25.47,98.70,1483.19,2019-07-19.7,2.02e+04,COM,96,,312,,,,,,742.5,,,
"     C/2019 J3 (ATLAS)",1.0007,2.374,131.41,270.52,16.55,,2019-08-01.8,,HYP,284,,270,,3.4e-07,,,,-3501,,,
"     C/2019 JU6 (ATLAS)",0.9994,2.046,148.29,21.70,94.92,6786.50,2019-06-01.0,1.98e+05,COM,40,,76,,,,,,3394,,,
"     C/2019 K1 (ATLAS)",1.0006,2.013,87.16,73.38,265.68,,2020-02-12.8,,HYP,468,,274,,,,,,-3582,,,
"     C/2019 K4 (Ye)",0.9991,2.259,105.31,180.17,139.77,4811.66,2019-06-16.4,1.18e+05,COM,222,,609,,,,,,2407,,,
"     C/2019 K5 (Young)",0.9865,2.035,15.32,177.19,174.92,300.23,2019-06-22.7,1.86e+03,COM,643,,734,,,,,,151.1,,,
"     C/2019 K6 (PANSTARRS)",0.9976,3.929,132.39,42.93,187.58,3222.61,2020-05-20.0,6.48e+04,COM,676,,360,,,,,,1613,,,
