"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2017 SK33)",1.487,0.2720,23.66,166.61,172.90,1.083,1.89,1.81,1,9,6,,,23.05
"       (2017 SL33)",1.818,0.4306,29.93,148.71,311.90,1.035,2.60,2.45,2026,0,144,,,19.85
"       (2017 TB1)",1.447,0.2491,18.52,196.10,176.89,1.087,1.81,1.74,12,8,33,,,24.80
"       (2017 TF1)",1.256,0.1872,0.89,102.58,278.98,1.021,1.49,1.41,74,5,44,,,26.70
"       (2017 TG1)",1.376,0.2012,23.57,185.82,169.74,1.100,1.65,1.61,58,6,25,,,22.90
"       (2017 TH1)",2.528,0.5911,8.73,198.64,182.36,1.034,4.02,4.02,1491,0,84,,,25.45
"       (2017 TR1)",2.986,0.6307,23.66,17.68,333.73,1.103,4.87,5.16,65,5,179,,,20.70
"       (2017 TJ2)",1.314,0.2203,21.01,198.20,187.74,1.025,1.60,1.51,17,7,75,,,24.80
"       (2017 TP2)",2.508,0.5877,11.46,7.52,16.03,1.034,3.98,3.97,43,7,30,,,24.50
"       (2017 TR3)",1.838,0.3122,5.05,260.82,71.62,1.264,2.41,2.49,3156,0,91,,,20.76
"       (2017 TW3)",2.408,0.4803,19.03,30.41,356.43,1.252,3.56,3.74,42,5,58,,,21.60
"       (2017 TX3)",1.64,0.2568,8.15,33.02,10.70,1.219,2.06,2.1,2665,0,145,,,20.93
"       (2017 TC4)",2.01,0.4251,11.88,270.04,177.96,1.155,2.86,2.85,1130,0,104,,,20.60
"       (2017 TN4)",1.912,0.4628,10.78,202.85,163.10,1.027,2.80,2.64,31,7,65,,,25.20
"       (2017 TO4)",3.102,0.6444,23.18,0.84,34.44,1.103,5.10,5.46,159,4,63,,,18.20
"       (2017 TP4)",1.079,0.0382,1.56,281.21,137.71,1.038,1.12,1.12,47,5,41,,,26.30
"       (2017 TR4)",1.295,0.2096,8.25,7.93,335.68,1.023,1.57,1.47,7,8,30,,,25.90
"       (2017 TW4)",1.922,0.4588,1.98,306.71,101.06,1.040,2.80,2.67,94,5,56,,,24.90
"       (2017 TO5)",1.881,0.4168,5.77,216.89,164.09,1.097,2.66,2.58,27,8,33,,,25.30
"       (2017 TS5)",1.469,0.3068,25.45,17.70,328.36,1.018,1.92,1.78,6,8,26,,,25.40
"       (2017 TT5)",1.773,0.3910,36.16,17.99,18.48,1.080,2.47,2.36,2,9,17,,,25.00
"       (2017 TE6)",1.297,0.0403,25.58,211.66,172.12,1.245,1.35,1.48,4,9,18,,,23.50
"       (2017 TG6)",2.135,0.4879,4.40,239.68,96.54,1.093,3.18,3.12,13,8,48,,,22.00
"       (2017 TM6)",1.306,0.1559,23.24,203.05,194.88,1.102,1.51,1.49,31,7,44,,,23.30
"       (2017 TQ6)",2.218,0.4946,5.43,294.43,83.76,1.121,3.32,3.3,54,6,50,,,21.90
"       (2017 TS6)",2.185,0.5302,1.99,19.37,4.15,1.027,3.34,3.23,3,8,16,,,28.20
"       (2017 TT6)",1.302,0.1515,28.16,25.20,339.15,1.105,1.50,1.49,15,8,29,,,24.20
"       (2017 TU6)",2.346,0.5031,9.08,48.92,273.02,1.166,3.53,3.59,60,5,36,,,20.60
"       (2017 UC)",1.716,0.4019,0.83,10.91,2.94,1.026,2.41,2.25,15,7,53,,,26.40
"       (2017 UT)",2.449,0.5717,14.36,15.97,1.66,1.049,3.85,3.83,25,7,71,,,23.00
"       (2017 UB1)",1.384,0.2348,14.74,201.41,207.11,1.059,1.71,1.63,32,7,27,,,25.40
"       (2017 UG1)",1.819,0.4376,3.86,199.77,190.10,1.023,2.62,2.45,2,8,22,,,27.80
"       (2017 UJ1)",1.394,0.2448,10.03,29.68,341.44,1.053,1.73,1.65,12,8,31,,,25.30
"       (2017 UO1)",2.541,0.5861,1.63,72.81,336.14,1.051,4.03,4.05,26,7,41,,,24.90
"       (2017 US1)",1.267,0.1057,17.51,41.17,330.94,1.133,1.40,1.43,26,6,37,,,23.30
"       (2017 UM2)",2.229,0.5341,4.91,198.36,163.19,1.038,3.42,3.33,6,8,24,,,26.20
"       (2017 UF3)",1.481,0.3097,14.44,210.64,145.98,1.022,1.94,1.8,2,8,25,,,26.20
"       (2017 UQ4)",2.696,0.6200,11.69,184.44,212.41,1.024,4.37,4.43,63,7,104,,,23.85
"       (2017 US4)",1.405,0.2170,9.70,204.75,318.17,1.100,1.71,1.67,5510,2,48,,,21.49
"       (2017 UT4)",1.382,0.2629,5.56,29.55,56.27,1.019,1.75,1.63,21,7,21,,,25.50
"       (2017 UU4)",2.465,0.5688,16.32,27.27,301.91,1.063,3.87,3.87,7,9,15,,,23.20
"       (2017 UW4)",1.824,0.3819,12.26,82.70,325.91,1.127,2.52,2.46,1944,0,47,,,22.50
"       (2017 UZ4)",2.762,0.5912,14.51,224.09,146.10,1.129,4.39,4.59,109,4,173,,,19.60
"       (2017 UA5)",2.301,0.4704,9.06,267.22,9.31,1.219,3.38,3.49,21,7,38,,,18.73
"       (2017 UB5)",1.887,0.3272,1.88,338.86,97.19,1.270,2.50,2.59,53,5,64,,,21.80
"       (2017 UC5)",2.337,0.4514,6.98,229.49,216.40,1.282,3.39,3.57,86,5,61,,,21.60
"       (2017 UF5)",2.27,0.4363,7.40,211.45,112.55,1.280,3.26,3.42,2727,3,56,,,20.10
"       (2017 UJ5)",1.163,0.1055,11.60,33.70,357.25,1.040,1.29,1.25,3683,0,73,,,24.75
"       (2017 UK5)",2.459,0.5860,2.73,36.14,346.28,1.018,3.90,3.86,6,7,49,,,25.90
"       (2017 UQ5)",1.486,0.2958,6.12,30.18,354.29,1.047,1.93,1.81,9,7,32,,,27.00
"       (2017 US5)",1.564,0.3473,12.26,29.91,327.46,1.021,2.11,1.96,4,8,27,,,26.50
"       (2017 UT5)",1.605,0.3515,1.93,33.65,354.27,1.041,2.17,2.03,9,7,35,,,27.10
"       (2017 UU5)",2.485,0.5760,2.76,31.28,352.61,1.053,3.92,3.92,9,8,29,,,26.93
"       (2017 UV5)",2.492,0.4863,14.90,42.44,314.36,1.280,3.70,3.93,37,6,49,,,21.40
"       (2017 UC6)",1.512,0.2698,30.64,31.04,9.02,1.104,1.92,1.86,2,9,22,,,24.60
"       (2017 UG6)",1.835,0.4409,6.87,30.04,355.79,1.026,2.64,2.49,6,7,56,,,25.30
"       (2017 UM6)",2.591,0.5741,30.23,14.52,17.02,1.104,4.08,4.17,4,9,43,,,22.00
"       (2017 UO6)",1.703,0.2758,42.58,15.16,272.85,1.233,2.17,2.22,564,2,57,,,20.05
"       (2017 UM7)",1.317,0.1873,35.62,33.53,339.49,1.070,1.56,1.51,6,8,32,,,24.60
"       (2017 UN7)",1.205,0.1360,7.95,41.01,32.93,1.041,1.37,1.32,31,7,35,,,25.70
"       (2017 UR7)",3.24,0.6476,5.49,100.72,345.81,1.142,5.34,5.83,2413,0,307,,,19.75
"       (2017 UT7)",2.306,0.5589,2.13,125.38,302.62,1.017,3.60,3.5,34,7,38,,,24.83
"       (2017 UA8)",1.434,0.1153,7.62,46.38,288.85,1.268,1.60,1.72,2631,0,72,,,21.40
"       (2017 UD8)",1.58,0.3466,17.99,217.86,141.09,1.032,2.13,1.99,20,8,43,,,24.10
"       (2017 UE8)",2.491,0.5488,11.63,21.55,45.18,1.124,3.86,3.93,2,9,22,,,24.10
"       (2017 UG8)",2,0.4468,7.43,232.97,190.67,1.107,2.89,2.83,53,6,54,,,24.40
"       (2017 UW42)",2.455,0.4845,6.67,287.45,195.51,1.266,3.64,3.85,3181,0,561,,,17.88
"       (2017 UZ42)",2.645,0.5837,37.79,30.74,357.84,1.101,4.19,4.3,79,6,180,,,18.86
"       (2017 UA43)",2.011,0.4923,8.85,217.51,216.63,1.021,3.00,2.85,25,8,41,,,24.84
"       (2017 UB43)",1.693,0.3638,22.19,219.34,151.32,1.077,2.31,2.2,30,7,43,,,24.00
"       (2017 UC43)",2.452,0.5339,13.45,25.39,4.07,1.143,3.76,3.84,13,8,31,,,23.90
"       (2017 UG43)",1.791,0.3840,5.78,49.44,314.38,1.103,2.48,2.4,13,8,12,,,24.50
"       (2017 UH43)",2.259,0.4874,8.89,59.16,300.51,1.158,3.36,3.39,2,9,10,,,23.50
"       (2017 UK43)",2.489,0.4932,2.84,129.35,289.69,1.261,3.72,3.93,18,8,16,,,23.10
"       (2017 UM43)",1.342,0.2304,27.17,217.00,131.08,1.033,1.65,1.56,23,8,18,,,24.20
"       (2017 UH44)",2.914,0.5773,13.89,260.24,217.67,1.232,4.60,4.97,3715,0,105,,,19.14
"       (2017 UJ44)",2.3,0.5299,2.45,63.50,335.76,1.082,3.52,3.49,3,8,17,,,25.50
"       (2017 UK44)",1.721,0.4082,14.97,33.82,349.31,1.018,2.42,2.26,2,7,63,,,25.10
"       (2017 UN44)",2.418,0.5457,2.48,74.02,346.67,1.099,3.74,3.76,44,7,16,,,24.90
"       (2017 UO44)",1.656,0.3445,13.71,43.77,11.11,1.085,2.23,2.13,14,8,16,,,25.00
"       (2017 UX44)",2.148,0.4080,5.46,19.14,325.84,1.272,3.02,3.15,3113,0,77,,,19.74
"       (2017 UY44)",1.898,0.3634,22.01,260.47,106.74,1.208,2.59,2.61,2948,0,53,,,20.14
"       (2017 UD45)",2.612,0.5356,27.96,205.24,123.84,1.213,4.01,4.22,1449,1,64,,,19.73
"       (2017 UO51)",2.997,0.6290,14.07,82.06,222.46,1.112,4.88,5.19,1837,0,127,,,20.07
"       (2017 UP51)",1.982,0.3703,11.83,37.57,7.49,1.248,2.72,2.79,30,8,16,,,23.40
"       (2017 UY51)",2.037,0.4018,34.83,50.83,21.67,1.219,2.86,2.91,20,7,23,,,22.60
"       (2017 UZ51)",2.47,0.5014,7.16,232.60,223.98,1.231,3.71,3.88,82,5,37,,,22.40
"       (2017 UE52)",1.913,0.3286,2.34,32.35,358.97,1.285,2.54,2.65,2,9,5,,,22.89
"       (2017 UF52)",1.858,0.3036,3.29,338.55,67.36,1.294,2.42,2.53,3648,0,78,,,21.23
"       (2017 UR52)",326,0.9962,108.34,219.66,151.21,1.252,650.82,5.89e+03,26,6,63,,,21.20
"       (2017 VU)",1.361,0.2245,15.75,58.22,324.40,1.056,1.67,1.59,38,6,100,,,22.46
"       (2017 VH1)",2.502,0.5635,14.98,238.50,152.80,1.092,3.91,3.96,30,7,55,,,23.90
"       (2017 VK1)",2.733,0.5916,22.46,238.89,142.70,1.116,4.35,4.52,66,5,92,,,20.60
"       (2017 VY1)",2.443,0.5747,5.09,23.22,15.44,1.039,3.85,3.82,15,7,50,,,25.00
"       (2017 VA2)",1.999,0.4526,4.29,6.16,86.12,1.094,2.90,2.83,91,5,51,,,23.30
"       (2017 VJ2)",2.706,0.5241,11.97,323.61,167.13,1.288,4.12,4.45,4740,0,139,,,17.69
"       (2017 VK2)",1.804,0.2939,10.54,260.06,161.52,1.274,2.33,2.42,1905,1,84,,,21.68
"       (2017 VC13)",2.698,0.6053,3.30,213.40,181.03,1.065,4.33,4.43,8,8,15,,,25.30
"       (2017 VE13)",2.025,0.4858,0.65,147.03,262.09,1.041,3.01,2.88,31,7,54,,,25.24
"       (2017 VF13)",1.555,0.3197,15.29,61.86,292.17,1.058,2.05,1.94,5,9,25,,,23.80
"       (2017 VG13)",1.538,0.3268,5.46,221.65,175.75,1.036,2.04,1.91,34,7,26,,,26.93
"       (2017 VH13)",1.981,0.4839,3.11,233.92,165.18,1.022,2.94,2.79,4,8,20,,,27.20
"       (2017 VJ13)",2.054,0.4929,6.62,231.00,146.21,1.042,3.07,2.94,29,7,41,,,24.68
"       (2017 VT13)",2.124,0.4609,10.03,233.11,202.14,1.145,3.10,3.1,54,6,32,,,24.20
"       (2017 VV13)",1.2,0.1306,7.86,34.25,10.72,1.043,1.36,1.31,62,6,18,,,23.90
"       (2017 VX13)",2.504,0.5285,1.62,11.74,59.82,1.180,3.83,3.96,37,6,47,,,23.70
"       (2017 VA14)",2.034,0.4928,8.43,233.71,184.30,1.032,3.04,2.9,5,8,39,,,25.60
"       (2017 VD14)",1.419,0.2699,3.15,53.90,36.24,1.036,1.80,1.69,60,6,62,,,26.10
"       (2017 VO14)",2.5,0.5806,3.11,68.22,341.36,1.048,3.95,3.95,4,8,26,,,26.20
"       (2017 VQ14)",1.709,0.3855,8.49,234.23,204.43,1.050,2.37,2.23,11,8,14,,,25.80
"       (2017 VR14)",1.99,0.4782,2.07,39.72,38.52,1.038,2.94,2.81,25,7,23,,,25.70
"       (2017 VS14)",1.365,0.2496,1.70,246.19,197.68,1.024,1.71,1.6,63,6,34,,,26.80
"       (2017 VX14)",2.608,0.5967,1.67,357.27,60.24,1.052,4.16,4.21,109,5,125,,,23.50
