"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 OP)",0.8275,0.4102,29.11,299.14,191.69,0.488,1.17,0.753,1095,2,47,,,23.38
"       (2020 OC1)",0.931,0.1211,6.59,301.83,163.57,0.818,1.04,0.898,27,5,49,,,26.40
"       (2020 OQ3)",0.7948,0.5056,12.53,107.17,39.49,0.393,1.20,0.709,21,6,17,,,22.72
"       (2020 OA5)",0.9006,0.1853,20.03,303.50,165.03,0.734,1.07,0.855,1,5,36,,,26.90
"       (2020 OJ5)",0.968,0.1951,22.24,313.55,147.71,0.779,1.16,0.952,33,6,25,,,22.60
"       (2020 OA6)",0.9238,0.3774,1.54,164.74,273.13,0.575,1.27,0.888,11,6,43,,,26.10
"       (2020 OT6)",0.9425,0.3780,22.27,121.94,60.83,0.586,1.30,0.915,4508,0,66,,,20.10
"       (2020 PC)",0.9332,0.0957,0.32,227.99,241.47,0.844,1.02,0.901,7,6,20,,,28.00
"       (2020 PK)",0.9486,0.6455,33.22,150.93,17.03,0.336,1.56,0.924,757,2,58,,,21.59
"       (2020 PO)",0.9564,0.2121,26.76,139.61,300.61,0.754,1.16,0.935,3,7,63,,,26.10
"       (2020 PL2)",0.9934,0.4379,34.61,320.42,239.62,0.558,1.43,0.99,366,2,112,,,23.06
"       (2020 PU2)",0.8675,0.2374,25.58,320.49,166.62,0.662,1.07,0.808,2,7,25,,,25.50
"       (2020 PK3)",0.9529,0.1692,6.09,161.80,348.85,0.792,1.11,0.93,32,5,33,,,24.70
"       (2020 PH5)",0.9882,0.3268,19.64,162.26,347.00,0.665,1.31,0.982,1515,1,57,,,22.37
"       (2020 PJ6)",0.9615,0.0992,0.81,141.35,314.25,0.866,1.06,0.943,8,6,23,,,25.60
"       (2020 PK6)",0.8821,0.4927,12.09,124.30,0.08,0.447,1.32,0.828,3,6,10,,,23.61
"       (2020 QU)",0.9695,0.4172,16.62,142.23,330.68,0.565,1.37,0.955,4,7,23,,,23.40
"       (2020 QY)",0.8558,0.3886,26.41,325.71,137.25,0.523,1.19,0.792,2,7,48,,,25.10
"       (2020 QL1)",0.8055,0.4251,29.97,148.56,350.16,0.463,1.15,0.723,7,6,38,,,24.10
"       (2020 QN1)",0.9302,0.2409,7.20,287.36,233.69,0.706,1.15,0.897,3416,0,68,,,23.20
"       (2020 QQ2)",0.814,0.2957,6.80,334.76,158.33,0.573,1.05,0.734,2,8,10,,,26.70
"       (2020 QW2)",0.7876,0.4171,19.74,211.97,307.23,0.459,1.12,0.699,742,1,100,,,20.60
"       (2020 QD3)",0.8534,0.3288,5.34,150.76,332.41,0.573,1.13,0.788,13,7,26,,,26.20
"       (2020 QR4)",0.8458,0.3180,17.98,328.33,160.74,0.577,1.11,0.778,12,7,19,,,24.40
"       (2020 QU5)",0.7222,0.5819,0.77,69.66,100.09,0.302,1.14,0.614,5,8,14,,,25.68
"       (2020 QV6)",0.9318,0.6589,11.23,162.25,36.52,0.318,1.55,0.9,3257,1,181,,,22.38
"       (2020 QX6)",0.8231,0.3502,11.23,157.61,324.70,0.535,1.11,0.747,1,9,9,,,28.80
"       (2020 RL)",0.8633,0.2058,14.22,337.12,195.41,0.686,1.04,0.802,1,7,28,,,25.10
"       (2020 RS)",0.8815,0.1863,9.75,163.01,18.42,0.717,1.05,0.828,15,6,22,,,25.40
"       (2020 RY2)",0.9304,0.3753,3.08,165.65,53.94,0.581,1.28,0.897,2,7,18,,,26.60
"       (2020 RF3)",0.9618,0.5551,7.53,351.87,127.33,0.428,1.50,0.943,2,6,42,,,28.50
"       (2020 RS3)",0.8652,0.6050,9.31,355.29,158.77,0.342,1.39,0.805,34,5,52,,,22.80
"       (2020 RG6)",0.9808,0.5748,1.12,310.81,266.78,0.417,1.54,0.971,748,2,80,,,23.75
"       (2020 RV6)",0.8702,0.3623,2.08,182.42,321.92,0.555,1.19,0.812,9,8,16,,,24.80
"       (2020 RA7)",0.969,0.1968,2.12,181.46,54.83,0.778,1.16,0.954,11,4,84,,,27.00
"       (2020 RT8)",0.9462,0.3261,3.25,23.69,176.37,0.638,1.25,0.92,12,6,17,,,24.40
"       (2020 RS9)",0.9733,0.3379,20.55,162.40,42.93,0.644,1.30,0.96,8,7,16,,,23.90
"       (2020 SB)",0.7256,0.3616,5.75,292.60,249.83,0.463,0.99,0.618,42,6,210,,,20.30
"       (2020 SW)",0.9413,0.2111,2.32,1.80,118.95,0.743,1.14,0.913,6,4,227,,,29.06
"       (2020 SK2)",0.9348,0.3408,22.15,179.29,312.81,0.616,1.25,0.904,9,7,46,,,24.70
"       (2020 SA3)",0.9494,0.1744,8.20,183.14,49.68,0.784,1.11,0.925,26,4,150,,,25.40
"       (2020 SS3)",0.9129,0.3778,14.52,176.07,306.14,0.568,1.26,0.872,1,7,16,,,28.47
"       (2020 SW3)",0.7774,0.3478,4.68,356.60,180.65,0.507,1.05,0.685,4,8,15,,,26.90
"       (2020 SN4)",0.9429,0.2278,7.33,0.82,234.16,0.728,1.16,0.916,3,5,30,,,26.60
