"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2016 LS)",13.37,0.6057,114.34,117.64,141.52,5.269,21.46,48.9,417,3,64,,,13.30
"       (2016 LR88)",28.85,0.3222,55.32,123.86,103.93,19.558,38.15,155,1,9,4,,,11.15
"       (2016 LF89)",20.87,0.0473,44.30,116.70,80.17,19.878,21.85,95.3,1,9,4,,,10.73
"       (2016 LO89)",13.14,0.0900,40.27,206.94,41.77,11.958,14.32,47.6,1,9,4,,,13.70
"       (2016 LK90)",16.39,0.0745,32.64,74.89,166.49,15.171,17.61,66.4,1,9,4,,,13.05
"       (2016 ND21)",8.491,0.5552,21.79,286.79,60.79,3.777,13.21,24.7,3133,1,629,,,12.29
"       (2016 NL100)",13.94,0.7597,21.92,334.63,345.21,3.350,24.53,52,65,4,17,,,16.30
"       (2016 NY180)",7.744,0.6220,20.79,135.91,182.60,2.927,12.56,21.5,76,4,16,,,16.39
"       (2016 PW84)",5.815,0.2812,14.52,299.99,87.71,4.180,7.45,14,1265,3,49,,,14.60
"       (2016 QF86)",21.19,0.3077,13.65,275.03,226.28,14.670,27.71,97.5,1206,4,45,,,8.40
"       (2016 TK2)",9.215,0.5513,92.30,323.34,5.69,4.135,14.30,28,135,4,45,,,14.90
"       (2016 TP93)",7.406,0.5531,138.28,347.28,332.14,3.310,11.50,20.2,607,4,54,,,15.70
"       (2016 TT100)",8.879,0.5885,9.73,55.24,44.75,3.653,14.10,26.5,1677,3,54,,,15.00
"       (2016 UP173)",6.733,0.7498,29.44,31.91,256.00,1.685,11.78,17.5,2,9,22,,,17.38
"       (2016 UC176)",6.678,0.6931,2.53,54.42,261.16,2.049,11.31,17.3,1,9,12,,,18.32
"       (2016 UE179)",10.13,0.1671,5.97,14.02,110.19,8.439,11.83,32.3,4188,1,152,,,12.61
"       (2016 UP210)",6.45,0.7774,5.14,232.67,247.96,1.436,11.46,16.4,1,9,8,,,19.40
"       (2016 UK212)",29.62,0.9502,2.28,25.82,283.73,1.476,57.77,161,1,9,11,,,18.89
"       (2016 UK219)",5.647,0.7351,10.68,211.11,86.55,1.496,9.80,13.4,1,9,13,,,18.41
"       (2016 UC222)",5.624,0.6679,18.38,210.69,264.15,1.868,9.38,13.3,1,9,12,,,19.00
"       (2016 UW222)",6.099,0.7222,1.45,158.51,160.24,1.694,10.50,15.1,1,9,11,,,19.42
"       (2016 UV231)",5.603,0.7447,19.99,36.33,85.96,1.431,9.78,13.3,1,9,11,,,19.68
"       (2016 UN233)",24.86,0.9366,1.40,232.53,80.69,1.577,48.14,124,1,9,14,,,18.65
"       (2016 US244)",6.566,0.7758,7.85,209.25,279.26,1.472,11.66,16.8,1,9,12,,,18.97
"       (2016 UG245)",8.472,0.8301,2.34,175.67,318.12,1.439,15.50,24.7,1,9,17,,,18.01
"       (2016 VF1)",8.05,0.1475,22.51,92.97,351.86,6.862,9.24,22.8,1983,2,83,,,13.70
