"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2001 TP257)",2.597,0.3605,7.66,173.85,211.75,1.661,3.53,4.18,7740,1,64,,,19.49
"       (2001 TV261)",2.221,0.2561,7.40,248.76,73.00,1.652,2.79,3.31,7826,0,80,,,18.39
"       (2001 TK266)",2.629,0.3936,27.97,203.13,249.54,1.594,3.66,4.26,7706,0,97,,,17.63
"       (2001 TW266)",2.122,0.2396,4.87,141.77,141.26,1.613,2.63,3.09,7476,0,46,,,19.55
"       (2001 TZ269)",2.235,0.2877,4.47,193.55,164.83,1.592,2.88,3.34,7296,2,39,,,20.74
"       (2001 UT)",2.292,0.3552,8.30,51.42,305.91,1.478,3.11,3.47,7769,0,119,,,18.66
"       (2001 UU)",2.275,0.4003,22.27,212.03,230.28,1.365,3.19,3.43,7864,0,86,,,18.27
"       (2001 UW)",2.218,0.2630,28.83,26.94,31.52,1.634,2.80,3.3,7349,0,42,,,18.97
"       (2001 UB2)",2.658,0.3880,6.78,198.99,200.43,1.627,3.69,4.33,6139,0,172,,,18.20
"       (2001 UW2)",2.586,0.4096,6.84,201.02,180.27,1.527,3.64,4.16,11,7,15,,,20.56
"       (2001 UB4)",1.819,0.1360,24.65,20.39,254.99,1.571,2.07,2.45,7993,0,85,,,18.64
"       (2001 UT4)",2.614,0.4147,10.37,81.56,336.80,1.530,3.70,4.23,7776,0,110,,,18.44
"       (2001 UB10)",2.592,0.3841,29.39,214.20,121.32,1.597,3.59,4.17,7763,0,74,,,17.94
"       (2001 UX17)",2.578,0.3930,28.98,235.19,118.72,1.565,3.59,4.14,7754,0,43,,,18.00
"       (2001 UB18)",3.013,0.5252,17.73,238.30,142.82,1.431,4.60,5.23,15411,0,438,,,17.75
"       (2001 UF94)",2.364,0.3436,7.61,89.17,293.67,1.552,3.18,3.64,7530,0,99,,,18.21
"       (2001 UC101)",2.18,0.2949,4.98,28.82,324.33,1.537,2.82,3.22,5806,0,41,,,19.20
