"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2020 PS81)",3.975,0.1159,1.74,252.36,10.00,3.514,4.44,7.92,6236,0,26,,,16.39
"       (2020 PH82)",3.226,0.0449,11.58,172.61,138.72,3.081,3.37,5.8,3122,0,26,,,17.30
"       (2020 PJ82)",3.204,0.1505,6.19,261.03,175.91,2.722,3.69,5.74,1744,2,24,,,17.60
"       (2020 PK82)",3.201,0.1744,11.02,9.95,335.88,2.643,3.76,5.73,4447,1,25,,,17.30
"       (2020 PZ82)",3.422,0.0354,10.62,141.08,185.66,3.301,3.54,6.33,3426,0,21,,,17.30
"       (2020 PE83)",3.447,0.0668,10.77,139.45,244.41,3.216,3.68,6.4,4812,1,32,,,16.22
"       (2020 PW86)",3.211,0.0127,10.75,318.77,285.32,3.170,3.25,5.75,6,7,14,,,17.79
"       (2020 PJ87)",3.228,0.0697,9.31,299.33,199.12,3.003,3.45,5.8,6283,0,25,,,17.08
"       (2020 PP93)",3.256,0.0963,9.27,348.91,70.96,2.942,3.57,5.87,3958,0,28,,,17.74
"       (2020 PB94)",3.216,0.0411,7.56,308.02,285.96,3.084,3.35,5.77,1774,1,28,,,17.19
"       (2020 PN95)",3.447,0.1091,10.64,292.80,68.03,3.071,3.82,6.4,11,8,11,,,17.33
"       (2020 PY95)",3.224,0.1396,9.89,172.00,129.88,2.774,3.67,5.79,6,9,14,,,17.71
"       (2020 PB96)",3.954,0.0933,2.22,259.14,57.53,3.585,4.32,7.86,6732,3,18,,,16.79
"       (2020 PM98)",3.234,0.0352,14.60,320.52,230.88,3.120,3.35,5.82,10,7,10,,,17.49
"       (2020 PT102)",3.207,0.1870,11.32,14.30,342.76,2.608,3.81,5.74,31,6,12,,,17.63
"       (2020 PS103)",3.216,0.1223,9.43,287.49,35.69,2.823,3.61,5.77,30,5,10,,,17.97
"       (2020 PT103)",3.991,0.1609,2.09,159.29,146.32,3.349,4.63,7.97,30,8,10,,,16.99
"       (2020 PA106)",3.983,0.1454,10.01,132.08,145.29,3.404,4.56,7.95,30,6,17,,,16.75
"       (2020 PG106)",3.369,0.3454,7.06,113.22,168.75,2.205,4.53,6.18,31,6,20,,,18.07
"       (2020 PO109)",3.23,0.0276,9.70,330.01,98.92,3.141,3.32,5.81,2624,0,21,,,17.17
"       (2020 QB)",4.437,0.4335,47.63,214.49,118.79,2.513,6.36,9.35,36,5,18,,,17.20
"       (2020 QY7)",3.342,0.4770,16.92,174.94,175.75,1.748,4.94,6.11,63,5,36,,,19.70
"       (2020 QO8)",3.204,0.2098,14.30,291.40,107.32,2.532,3.88,5.74,2720,0,92,,,17.04
"       (2020 QE9)",3.234,0.2128,23.02,219.67,201.79,2.546,3.92,5.82,4783,0,144,,,16.31
"       (2020 QM9)",3.214,0.1166,12.82,308.31,31.31,2.840,3.59,5.76,4868,0,98,,,16.45
"       (2020 QA16)",3.207,0.2252,11.27,170.40,192.12,2.485,3.93,5.74,6227,2,28,,,18.00
"       (2020 QV18)",3.201,0.0872,10.38,157.06,175.20,2.922,3.48,5.73,6255,0,65,,,16.70
"       (2020 QT20)",3.391,0.2062,7.67,245.48,151.79,2.692,4.09,6.25,2637,1,66,,,17.27
"       (2020 QX22)",3.208,0.2034,10.77,185.42,235.96,2.556,3.86,5.75,6667,0,58,,,17.00
"       (2020 QC23)",3.747,0.5255,22.30,21.34,297.72,1.778,5.72,7.25,77,4,54,,,18.00
"       (2020 QR24)",3.208,0.1942,18.34,353.88,351.21,2.585,3.83,5.75,52,4,21,,,17.80
"       (2020 QG27)",3.239,0.0314,15.27,254.99,107.87,3.137,3.34,5.83,3490,0,40,,,16.87
"       (2020 QV27)",3.224,0.0863,4.28,28.70,267.64,2.946,3.50,5.79,7030,0,50,,,16.88
"       (2020 QB28)",3.339,0.1188,10.57,213.53,183.41,2.943,3.74,6.1,5733,0,54,,,16.95
"       (2020 QU29)",3.225,0.1823,16.92,215.43,181.75,2.637,3.81,5.79,61,4,23,,,17.30
